Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Sake,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Sambuca,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Sangria,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Sherry,0,kcal,g,napoje alkoholowe i napitki,lampka,250 
Southern Comfort,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Szampan,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Szkocka,0,kcal,g,napoje alkoholowe i napitki,lampka,100 
Tarninówka,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Tequila,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Triple Sec,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Vermouth,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Whiskey Irlandzka,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Whisky,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Wino,0,kcal,g,napoje alkoholowe i napitki,kieliszek,44 
Wino białe,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Wino czerwone,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Wino różowe,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Wiśniówka,0,kcal,g,napoje alkoholowe i napitki,lampka,150 
Wódka,0,kcal,g,napoje alkoholowe i napitki,lampka,100 
Śliwowica,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Żubrówka,0,kcal,g,napoje alkoholowe i napitki,kieliszek,25 
Apple Spritzer,0,kcal,g,napoje bezalkoholowe i napitki,butelka,500 
Bawarka,0,kcal,g,napoje bezalkoholowe i napitki,butelka,500 
Club Mate,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,200 
Coca Cola,0,kcal,g,napoje bezalkoholowe i napitki,butelka,500 
Coca Cola Zero,0,kcal,g,napoje bezalkoholowe i napitki,butelka,330 
Cola,0,kcal,g,napoje bezalkoholowe i napitki,butelka,330 
Cola dietetyczna,0,kcal,g,napoje bezalkoholowe i napitki,butelka,330 
Czekolada na gorąco,0,kcal,g,napoje bezalkoholowe i napitki,butelka,330 
Gatorade,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,266 
Herbata,0,kcal,g,napoje bezalkoholowe i napitki,butelka,500 
Herbata imbirowa,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,237 
Herbata zielona,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,254 
Ice Tea,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,200 
Karamalz,0,kcal,g,napoje bezalkoholowe i napitki,butelka,500 
Kawa,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,237 
Kawa Inka,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,237 
Kawa zbożowa,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,200 
Kombucha,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,200 
Kompot,0,kcal,g,napoje bezalkoholowe i napitki,butelka,330 
Kwas chlebowy,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,200 
Latte Macchiato,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,200 
Lemoniada,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,300 
Masala czaj,0,kcal,g,napoje bezalkoholowe i napitki,butelka,330 
Milkshake (w proszku),0,kcal,g,napoje bezalkoholowe i napitki,szklanka,236 
Milkshake czekoladowy,0,kcal,g,napoje bezalkoholowe i napitki,łyżka,7 
Milkshake truskawkowy,0,kcal,g,napoje bezalkoholowe i napitki,porcja ,400 
Milkshake waniliowy,0,kcal,g,napoje bezalkoholowe i napitki,porcja ,400 
Mleko,0,kcal,g,napoje bezalkoholowe i napitki,porcja ,400 
Mleko czekoladowe,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,244 
Mleko sojowe,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,266 
Nektar,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,243 
Nestea,0,kcal,g,napoje bezalkoholowe i napitki,butelka,1000 
Piwo bezalkoholowe,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,240 
Piwo słodowe,0,kcal,g,napoje bezalkoholowe i napitki,butelka,354 
Powerade,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,237 
Slush Puppie,0,kcal,g,napoje bezalkoholowe i napitki,butelka,500 
Smoothie,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,240 
Woda,0,kcal,g,napoje bezalkoholowe i napitki,szklanka,150 
Yerba Mate,0,kcal,g,napoje bezalkoholowe i napitki,butelka,500 
Bitter Lemon,0,kcal,g,napoje sodowe i lekkie,butelka,1500 
Burn,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Cherry Coke,0,kcal,g,napoje sodowe i lekkie,puszka,250 
Cherry Coke Light,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Cola,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Cola Light,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Cola waniliowa,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Cola Zero,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Dr Pepper,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Fanta,0,kcal,g,napoje sodowe i lekkie,puszka,330 
Fanta Zero,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Ginger Ale,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Hoop Cola,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Ice Tea,0,kcal,g,napoje sodowe i lekkie,szklanka ,200 
Kinley Tonic,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Kwas chlebowy,0,kcal,g,napoje sodowe i lekkie,puszka,330 
Lemoniada,0,kcal,g,napoje sodowe i lekkie,szklanka ,220 
Lipton Ice Tea,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Minute Maid,0,kcal,g,napoje sodowe i lekkie,butelka,1500 
Minute Maid Light,0,kcal,g,napoje sodowe i lekkie,szklanka,240 
Napój energetyczny Black,0,kcal,g,napoje sodowe i lekkie,szklanka,240 
Napój gazowany,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Nestea,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Oranżada,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Pepsi,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Pepsi Light,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Pepsi Light,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Powerade,0,kcal,g,napoje sodowe i lekkie,butelka,1500 
Red Bull,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Schweppes,0,kcal,g,napoje sodowe i lekkie,puszka,250 
Schweppes Ginger Ale,0,kcal,g,napoje sodowe i lekkie,butelka,200 
Sprite,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Sprite Zero,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Tiger Energy Drink,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Tonik,0,kcal,g,napoje sodowe i lekkie,puszka,250 
Tymbark jabłkowo-miętowy,0,kcal,g,napoje sodowe i lekkie,butelka,500 
Altbier,0,kcal,g,piwo,butelka,500 
Beck’s,0,kcal,g,piwo,butelka,500 
Carlsberg,0,kcal,g,piwo,butelka,500 
Clausthaler bezalkoholowy,0,kcal,g,piwo,butelka,500 
Corona,0,kcal,g,piwo,butelka,500 
Dębowe mocne,0,kcal,g,piwo,butelka,500 
Guineess,0,kcal,g,piwo,butelka,500 
Heineken,0,kcal,g,piwo,pinta,568 
India Pale Ale (IPA),0,kcal,g,piwo,butelka,500 
Koelsch,0,kcal,g,piwo,butelka,500 
Koźlak,0,kcal,g,piwo,butelka,500 
Lech,0,kcal,g,piwo,butelka,500 
Leżajsk,0,kcal,g,piwo,butelka,500 
Lowenbrau,0,kcal,g,piwo,butelka,500 
Okocim,0,kcal,g,piwo,butelka,500 
Pale Ale,0,kcal,g,piwo,butelka,500 
Piast,0,kcal,g,piwo,butelka,500 
Pilsner,0,kcal,g,piwo,butelka,500 
Piwo,0,kcal,g,piwo,butelka,500 
Piwo bezalkoholowe,0,kcal,g,piwo,butelka,500 
Piwo ciemne,0,kcal,g,piwo,butelka,500 
Piwo imbirowe,0,kcal,g,piwo,butelka,500 
Piwo jasne,0,kcal,g,piwo,butelka,500 
Piwo Królewskie,0,kcal,g,piwo,butelka,500 
Piwo Lager,0,kcal,g,piwo,butelka,500 
Piwo mocne,0,kcal,g,piwo,butelka,500 
Piwo pszeniczne,0,kcal,g,piwo,butelka,500 
Piwo słodowe,0,kcal,g,piwo,butelka,500 
Porter,0,kcal,g,piwo,butelka,500 
Redd’s,0,kcal,g,piwo,butelka,500 
Stout,0,kcal,g,piwo,butelka,500 
Tatra,0,kcal,g,piwo,butelka,500 
Tyskie,0,kcal,g,piwo,butelka,500 
Warka,0,kcal,g,piwo,butelka,500 
Żubr,0,kcal,g,piwo,butelka,500 
Żywiec,0,kcal,g,piwo,butelka,500 
Capri-Sun,0,kcal,g,soki owocowe,butelka,1000 
Clamato,0,kcal,g,soki owocowe,capri-sun,200 
Energy-Drink,0,kcal,g,soki owocowe,butelka,1000 
Herbata rumiankowa,0,kcal,g,soki owocowe,puszka,250 
Lassi z mango,0,kcal,g,soki owocowe,butelka,1000 
Lemoniada,0,kcal,g,soki owocowe,butelka,1000 
Mleko kokosowe,0,kcal,g,soki owocowe,butelka,1000 
Nektar brzoskwiniowy,0,kcal,g,soki owocowe,butelka,1000 
Nektar gruszkowy,0,kcal,g,soki owocowe,butelka,1000 
Nektar morelowy,0,kcal,g,soki owocowe,butelka,1000 
Nestea,0,kcal,g,soki owocowe,butelka,1000 
Sok ananasowy,0,kcal,g,soki owocowe,butelka,1000 
Sok bananowy,0,kcal,g,soki owocowe,butelka,1000 
Sok brzoskwiniowy,0,kcal,g,soki owocowe,butelka,1000 
Sok cytrynowy,0,kcal,g,soki owocowe,butelka,1000 
Sok grejpfrutowy,0,kcal,g,soki owocowe,butelka,1000 
Sok gruszkowy,0,kcal,g,soki owocowe,butelka,1000 
Sok jabłkowy,0,kcal,g,soki owocowe,butelka,1000 
Sok jeżynowy,0,kcal,g,soki owocowe,butelka,1000 
Sok marchwiowy,0,kcal,g,soki owocowe,butelka,1000 
Sok pomarańczowy,0,kcal,g,soki owocowe,butelka,1000 
Sok pomidorowy,0,kcal,g,soki owocowe,butelka,1000 
Sok porzeczkowy,0,kcal,g,soki owocowe,butelka,1000 
Sok warzywny,0,kcal,g,soki owocowe,butelka,1000 
Sok winogronowy,0,kcal,g,soki owocowe,butelka,1000 
Sok wiśniowy,0,kcal,g,soki owocowe,butelka,1000 
Sok z acai,0,kcal,g,soki owocowe,butelka,1000 
Sok z białych winogron,0,kcal,g,soki owocowe,butelka,1000 
Sok z granata,0,kcal,g,soki owocowe,butelka,1000 
Sok z kiszonej kapusty,0,kcal,g,soki owocowe,butelka,1000 
Sok z limonki,0,kcal,g,soki owocowe,butelka,1000 
Sok z mandarynek,0,kcal,g,soki owocowe,butelka,1000 
Sok z ogórka,0,kcal,g,soki owocowe,butelka,1000 
Sok z papai,0,kcal,g,soki owocowe,butelka,1000 
Sok z passiflory,0,kcal,g,soki owocowe,butelka,1000 
Sok śliwkowy,0,kcal,g,soki owocowe,butelka,1000 
Sok żurawinowy,0,kcal,g,soki owocowe,butelka,1000 
Woda kokosowa,0,kcal,g,soki owocowe,butelka,1000 
Bacchus,0,kcal,g,wino,lampka,118 
Cabernet Cortis,0,kcal,g,wino,lampka,118 
Cabernet Sauvignon,0,kcal,g,wino,lampka,118 
Cava,0,kcal,g,wino,lampka,118 
Chardonnay,0,kcal,g,wino,lampka,118 
Chenin Blanc,0,kcal,g,wino,lampka,118 
Czerwone Talary,0,kcal,g,wino,lampka,118 
Gamay,0,kcal,g,wino,lampka,118 
Grzaniec Galicyjski,0,kcal,g,wino,lampka,118 
Herbowe Solaris,0,kcal,g,wino,lampka,118 
Hibernal,0,kcal,g,wino,lampka,118 
Malbec,0,kcal,g,wino,lampka,118 
Merlot,0,kcal,g,wino,lampka,118 
Pinot Gris,0,kcal,g,wino,lampka,118 
Pinot Noir,0,kcal,g,wino,lampka,118 
Porto,0,kcal,g,wino,lampka,118 
Prosecco,0,kcal,g,wino,lampka,118 
Regent,0,kcal,g,wino,lampka,118 
Riesling,0,kcal,g,wino,lampka,118 
Rose Dolina Bystrzycy,0,kcal,g,wino,lampka,118 
Sangria,0,kcal,g,wino,lampka,118 
Sauvignon Blanc,0,kcal,g,wino,lampka,118 
Seyval Blanc,0,kcal,g,wino,lampka,118 
Sherry,0,kcal,g,wino,lampka,118 
Shiraz,0,kcal,g,wino,lampka,118 
Sibera,0,kcal,g,wino,lampka,118 
Szampan,0,kcal,g,wino,lampka,118 
Wermut,0,kcal,g,wino,lampka,118 
Wina słodkie,0,kcal,g,wino,lampka,30 
Wino,0,kcal,g,wino,lampka,118 
Wino białe,0,kcal,g,wino,lampka,118 
Wino białe słodkie,0,kcal,g,wino,lampka,118 
Wino czerwone,0,kcal,g,wino,lampka,118 
Wino czerwone słodkie,0,kcal,g,wino,lampka,118 
Wino czerwone wytrawne,0,kcal,g,wino,lampka,118 
Wino grzane,0,kcal,g,wino,lampka,118 
Wino Marsala,0,kcal,g,wino,lampka,118 
Wino musujące,0,kcal,g,wino,lampka,118 
Wino różowe,0,kcal,g,wino,lampka,118 
Wino śliwkowe,0,kcal,g,wino,lampka,118 
Zinfandel,0,kcal,g,wino,lampka,118 
Zweigelt Rose,0,kcal,g,wino,lampka,118 
Capellini,353,kcal,g,makaron i noodle,porcja,200
Cappelletti,164,kcal,g,makaron i noodle,porcja,200
Ciasto na pierogi,99,kcal,g,makaron i noodle,porcja,200
Fettuccine,353,kcal,g,makaron i noodle,porcja,200
Kluski na parze,274,kcal,g,makaron i noodle,porcja,200
Linguine,357,kcal,g,makaron i noodle,kluska,85
Makaron do Lasagne,271,kcal,g,makaron i noodle,porcja,200
Makaron jajeczny,384,kcal,g,makaron i noodle,sztuka,21
Makaron kokardki,358,kcal,g,makaron i noodle,szklanka,38
Makaron muszelki,353,kcal,g,makaron i noodle,porcja,200
Makaron nisko węglowodanowy,282,kcal,g,makaron i noodle,szklanka,85
Makaron pełnoziarnisty,347,kcal,g,makaron i noodle,porcja,200
Makaron przezroczysty,192,kcal,g,makaron i noodle,porcja,200
Makaron rurki,351,kcal,g,makaron i noodle,porcja,200
Makaron rurki z rowkami,370,kcal,g,makaron i noodle,porcja,200
Makaron ryżowy,109,kcal,g,makaron i noodle,porcja,200
Makaron Shirataki,18,kcal,g,makaron i noodle,porcja,200
Makaron sojowy,216,kcal,g,makaron i noodle,porcja,200
Makaron wstążki,370,kcal,g,makaron i noodle,porcja,200
Makaron włoski,370,kcal,g,makaron i noodle,porcja,200
Makaron włoski uszka,370,kcal,g,makaron i noodle,szklanka,114
Makaron łazanki,354,kcal,g,makaron i noodle,porcja,200
Makaron świderki,352,kcal,g,makaron i noodle,porcja,200
Mostaccioli,184,kcal,g,makaron i noodle,porcja,200
Orzo,357,kcal,g,makaron i noodle,porcja,200
Pierogi,200,kcal,g,makaron i noodle,porcja,200
Ravioli,77,kcal,g,makaron i noodle,pierogi,100
Rigatoni,353,kcal,g,makaron i noodle,porcja,200
Semolina z pszenicy durum,397,kcal,g,makaron i noodle,porcja,200
Spaghetti,370,kcal,g,makaron i noodle,porcja,200
Spaghetti pełnoziarniste,351,kcal,g,makaron i noodle,porcja,200
Spirelli,367,kcal,g,makaron i noodle,porcja,200
Szpecle,368,kcal,g,makaron i noodle,porcja,200
Tortellini,291,kcal,g,makaron i noodle,porcja,200
Tortellini z serem,291,kcal,g,makaron i noodle,szklanka,113
Tortellini ze szpinakiem,314,kcal,g,makaron i noodle,szklanka,113
Vermicelli,368,kcal,g,makaron i noodle,szklanka,102
Cheerios wielozbożowe,380,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Chocos,380,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Cini Minis,433,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Coco Pops,376,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Cookie Crisp,400,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Crunchy naturalne,450,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Gold Flakes Nestle,394,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Granola Sante orzechowa,457,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Jaśki,469,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Mlekołaki,382,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Muesli,336,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Muesli Fitella,399,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Muesli Lo,300,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Muesli Nestle tropikalne,365,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Muesli Sante granola,433,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Nesquik,379,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Owsianka,375,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Pszenica preparowana,367,kcal,g,platki owsiane kukurydziane i musli,szklanka,175
Płatki błonnikowe Sante,392,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Płatki Chocapic czekoladowe,382,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Płatki Frutina,319,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Płatki Kangus z miodem,387,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Płatki kukurydziane,357,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Płatki Lion,402,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Płatki Nestle Fitness z jogurtem,399,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Płatki owsiane Nesvita,394,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Ryż preparowany,383,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Weetabix,358,kcal,g,platki owsiane kukurydziane i musli,porcja,37.5
Ciasteczka kruche,502,kcal,g,zboza i produkty zbozowe, chipsów,32
Gluten pszenny,325,kcal,g,zboza i produkty zbozowe,sztuka,19
Grissini,408,kcal,g,zboza i produkty zbozowe,łyżeczka,3
Jęczmień,354,kcal,g,zboza i produkty zbozowe,grissini,5
Kasza gryczana,343,kcal,g,zboza i produkty zbozowe,szklanka,157
Kasza jaglana,46,kcal,g,zboza i produkty zbozowe,szklanka,170
Kasza jęczmienna,352,kcal,g,zboza i produkty zbozowe,szklanka,174
Kasza kukurydziana,362,kcal,g,zboza i produkty zbozowe,szklanka,157
Kasza manna,328,kcal,g,zboza i produkty zbozowe,szklanka,122
Komosa ryżowa,368,kcal,g,zboza i produkty zbozowe,porcja,30
Krakersy,502,kcal,g,zboza i produkty zbozowe,szklanka,170
Kuskus,376,kcal,g,zboza i produkty zbozowe,krakers,7
Mąka jaglana,372,kcal,g,zboza i produkty zbozowe,szklanka,173
Nasiona słonecznika,584,kcal,g,zboza i produkty zbozowe,szklanka,140
Otręby orkiszowe,177,kcal,g,zboza i produkty zbozowe,szklanka,140
Otręby owsiane,246,kcal,g,zboza i produkty zbozowe,szklanka,160
Otręby pszenne,216,kcal,g,zboza i produkty zbozowe,szklanka,94
Otręby żytnie,281,kcal,g,zboza i produkty zbozowe,szklanka,58
Paluszki,380,kcal,g,zboza i produkty zbozowe,szklanka,150
Pełne ziarno owsa,375,kcal,g,zboza i produkty zbozowe, sztuk,12
Pełne ziarno pszenicy,339,kcal,g,zboza i produkty zbozowe,szklanka,80
Polenta,366,kcal,g,zboza i produkty zbozowe,szklanka,120
Proso,378,kcal,g,zboza i produkty zbozowe,szklanka,150
Pszenica orkisz,338,kcal,g,zboza i produkty zbozowe,szklanka,128
Ryż biały,344,kcal,g,zboza i produkty zbozowe,szklanka,174
Ryż brązowy,388,kcal,g,zboza i produkty zbozowe,szklanka,195
Ryż dziki,355,kcal,g,zboza i produkty zbozowe,szklanka,195
Ryż parboiled,366,kcal,g,zboza i produkty zbozowe,porcja,63
Semolina orkiszowa,360,kcal,g,zboza i produkty zbozowe,porcja,63
Semolina z pszenicy,360,kcal,g,zboza i produkty zbozowe,szklanka,167
Semolina z pszenicy durum,397,kcal,g,zboza i produkty zbozowe,szklanka,167
Siemię lniane,534,kcal,g,zboza i produkty zbozowe,łyżka,30
Skrobia kukurydziana,381,kcal,g,zboza i produkty zbozowe,szklanka,168
Skrobia pszenna,351,kcal,g,zboza i produkty zbozowe,szklanka,128
Suchary,410,kcal,g,zboza i produkty zbozowe,szklanka,110
Szarłat,371,kcal,g,zboza i produkty zbozowe,suchar,10
Tortilla,237,kcal,g,zboza i produkty zbozowe,szklanka,193
Wafle kukurydziane,274,kcal,g,zboza i produkty zbozowe,tortilla,197
Zarodki pszenne,382,kcal,g,zboza i produkty zbozowe,wafel,40
Ziarno pszenicy,337,kcal,g,zboza i produkty zbozowe,szklanka,113
Burrito,163,kcal,g,dania i posilki,porcja,200
Chili con Carne,105,kcal,g,dania i posilki,burrito,200
Enchilada,168,kcal,g,dania i posilki,szklanka,253
Fahita,117,kcal,g,dania i posilki,enchilada,192
Galareta mięsna,115,kcal,g,dania i posilki,porcja,248
Gołąbki,108,kcal,g,dania i posilki,paczka,125
Groch,330,kcal,g,dania i posilki,sztuka,160
Gulasz wołowy,95,kcal,g,dania i posilki,2 szklanki,92
Hummus,177,kcal,g,dania i posilki,szklanka,196
Kaczka po pekińsku,225,kcal,g,dania i posilki,szklanka,246
Kebab,215,kcal,g,dania i posilki,2 kaczki,178
Kiełbasa duszona z cebulką,263,kcal,g,dania i posilki,kebeb,360
Kurczak pieczony,164,kcal,g,dania i posilki,porcja,140
Lazania,132,kcal,g,dania i posilki,pierś,172
Makaron z serem,370,kcal,g,dania i posilki,porcja,215
Paella,156,kcal,g,dania i posilki,porcja,189
Pieczeń rzymska,254,kcal,g,dania i posilki,porcja,400
Pieczeń wołowa,111,kcal,g,dania i posilki,plasterek,284
Pieczona fasola,94,kcal,g,dania i posilki,plasterek,21
Pilaw,108,kcal,g,dania i posilki,szklanka,260
Pizza,267,kcal,g,dania i posilki,porcja,270
Ravioli,203,kcal,g,dania i posilki,kawałek,102
Risotto,118,kcal,g,dania i posilki,ravioli,66
Ryba z frytkami,195,kcal,g,dania i posilki,porcja,300
Ryż brązowy,362,kcal,g,dania i posilki,porcja,300
Ryż smażony,186,kcal,g,dania i posilki,szklanka,185
Sajgonki,250,kcal,g,dania i posilki,porcja,356
Sałatka cesarska z kurczakiem,127,kcal,g,dania i posilki,sztuka,140
Sałatka ziemniaczana,143,kcal,g,dania i posilki,sałatka,309
Spaghetti Bolognese,132,kcal,g,dania i posilki,3 szklanki,95
Taco,217,kcal,g,dania i posilki,porcja,283
Wieprzowina z kością,225,kcal,g,dania i posilki,taco,98
Ziemniaki tłuczone,83,kcal,g,dania i posilki,kawałek,131
Zupa z groszku zielonego,75,kcal,g,dania i posilki,szklanka,210
Barszcz z uszkami,82,kcal,g,zupy,porcja,240
Bulion,16,kcal,g,zupy,porcja,230
Bulion wołowy,3,kcal,g,zupy,szklanka,244
Bulion z kurczaka,4,kcal,g,zupy,szklanka,240
Fasolka w sosie,133,kcal,g,zupy,szklanka,241
Gulasz,50,kcal,g,zupy,szklanka,252
Kapuśniak,28,kcal,g,zupy,porcja,187
Ramen,436,kcal,g,zupy,szklanka,245
Ramen błyskawiczny,436,kcal,g,zupy,paczka,85
Rosół z kurczaka,16,kcal,g,zupy,paczka,85
Rosół z kurczaka z makaronem,25,kcal,g,zupy,szklanka,244
Wywar warzywny,5,kcal,g,zupy,szklanka,248
Zalewajka,38,kcal,g,zupy,szklanka,235
Zupa brokułowa,87,kcal,g,zupy,porcja,240
Zupa cebulowa,23,kcal,g,zupy,szklanka,237
Zupa grzybowa,35,kcal,g,zupy,szklanka,243
Zupa jarzynowa,28,kcal,g,zupy,szklanka,244
Zupa krem cebulowa,44,kcal,g,zupy,szklanka,241
Zupa krem grzybowa,39,kcal,g,zupy,szklanka,244
Zupa krem z brokułów,45,kcal,g,zupy,szklanka,248
Zupa krem z homarów,100,kcal,g,zupy,porcja,310
Zupa krem z kurczaka,48,kcal,g,zupy,szklanka,248
Zupa krem z kurczaka z makaronem,23,kcal,g,zupy,szklanka,244
Zupa krem z selera,37,kcal,g,zupy,szklanka,245
Zupa krem ze szparagów,35,kcal,g,zupy,szklanka,248
Zupa krem ziemniaczana,30,kcal,g,zupy,szklanka,244
Zupa marchewkowa,25,kcal,g,zupy,szklanka,244
Zupa marchewkowa z imbirem,25,kcal,g,zupy,porcja,381
Zupa Minestrone,34,kcal,g,zupy,porcja,381
Zupa ogonowa,28,kcal,g,zupy,szklanka,241
Zupa pomidorowa,30,kcal,g,zupy,szklanka,244
Zupa pomidorowa z ryżem,47,kcal,g,zupy,szklanka,248
Zupa tajska,60,kcal,g,zupy,szklanka,247
Zupa wołowa,33,kcal,g,zupy,szklanka,245
Zupa z dyni,29,kcal,g,zupy,szklanka,213
Zupa z groszku,75,kcal,g,zupy,szklanka,245
Zupa z klopsikami,49,kcal,g,zupy,szklanka,253
Zupa z kurczakiem i ryżem,24,kcal,g,zupy,szklanka,245
Zupa z kurczakiem i warzywami,31,kcal,g,zupy,szklanka,243
Zupa z makaronem,34,kcal,g,zupy,szklanka,248
Zupa z makaronem alfabetem,25,kcal,g,zupy,szklanka,244
Zupa z serem i brokułami,87,kcal,g,zupy,szklanka,248
Zupa z soczewicy,56,kcal,g,zupy,szklanka,303
Zupa z wołowiną i makaronem,34,kcal,g,zupy,szklanka,248
Zupa ziemniaczana,80,kcal,g,zupy,szklanka,244
Żurek,108,kcal,g,zupy,porcja,240
Chlebowiec,191,kcal,g,orzechy i nasiona,plasterek,286
Fasola pinto,347,kcal,g,orzechy i nasiona,sztuka,30
Groszek,81,kcal,g,orzechy i nasiona,szklanka,193
Kasztan,213,kcal,g,orzechy i nasiona,szklanka,145
Kiełki alfa-alfa,23,kcal,g,orzechy i nasiona,szklanka,145
Kokos,354,kcal,g,orzechy i nasiona,szklanka,33
Migdały,575,kcal,g,orzechy i nasiona,kokos,397
Nasiona bawełny,506,kcal,g,orzechy i nasiona,szklanka,95
Nasiona lotosu,89,kcal,g,orzechy i nasiona,szklanka,149
Nasiona maku,525,kcal,g,orzechy i nasiona,szklanka,145
Nasiona sezamu,573,kcal,g,orzechy i nasiona,łyżka,8.8
Nasiona szałwii hiszpańskiej,486,kcal,g,orzechy i nasiona,szklanka,144
Nasiona słonecznika,584,kcal,g,orzechy i nasiona,paczka,340
Nerkowiec,553,kcal,g,orzechy i nasiona,szklanka,140
Orzechy brazylijskie,656,kcal,g,orzechy i nasiona,paczka,150
Orzechy Ginkgo,182,kcal,g,orzechy i nasiona,szklanka,133
Orzechy hikory,657,kcal,g,orzechy i nasiona,szklanka,145
Orzechy laskowe,628,kcal,g,orzechy i nasiona,szklanka,120
Orzechy Macadamia,718,kcal,g,orzechy i nasiona,szklanka,75
Orzechy pecan,691,kcal,g,orzechy i nasiona,szklanka,134
Orzechy włoskie,654,kcal,g,orzechy i nasiona,szklanka,99
Orzeszki bukowe,576,kcal,g,orzechy i nasiona,szklanka,80
Orzeszki pini,673,kcal,g,orzechy i nasiona,szklanka,129
Orzeszki ziemne,567,kcal,g,orzechy i nasiona,szklanka,135
Pestki dyni,559,kcal,g,orzechy i nasiona,szklanka,146
Pestki dyni piżmowej,612,kcal,g,orzechy i nasiona,szklanka,129
