Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Falafel,335,kcal,g,fast food,kanapka,222
Filet-o-Fish,282,kcal,g,fast food,sztuka,17
Filet-o-Fish z McDonald’s,275,kcal,g,fast food,kanapka,142
Frytki,254,kcal,g,fast food,kanapka,142
Frytki kręcone,311,kcal,g,fast food,porcja,71
Grander Texas z KFC,269,kcal,g,fast food,porcja,128
Grander z KFC,242,kcal,g,fast food,kanapka,300
Hamburger,254,kcal,g,fast food,sztuka,295
Hot dog,269,kcal,g,fast food,kanapka,110
Indyk,104,kcal,g,fast food,hot dog,116
Italian BMT,183,kcal,g,fast food,indyk,3812
iTwist z KFC,246,kcal,g,fast food,kanapka,224
Kanapka Chicken Teriyaki,138,kcal,g,fast food,sztuka,132
Kanapka Subway Melt,370,kcal,g,fast food,kanapka,266
Kanapka Veggie Delight,138,kcal,g,fast food,kanapka,236
Kanapka z klopsikami,161,kcal,g,fast food,kanapka,166
Kanapka z kurczakiem,241,kcal,g,fast food,kanapka,299
Kanapka z rybą,273,kcal,g,fast food,kanapka,170
Kanapka z szynką,241,kcal,g,fast food,kanapka,158
Kebab,225,kcal,g,fast food,kanapka,146
Kiełbasa,333,kcal,g,fast food,kebab,350
Kotlet wegetariański,390,kcal,g,fast food,sztuka,85
Krokiet,250,kcal,g,fast food,kanapka,247
Krążki cebulowe,411,kcal,g,fast food,sztuka,80
Lazania,132,kcal,g,fast food,krążek,6.5
Longer z KFC,241,kcal,g,fast food,sztuka,130
McChicken z McDonald’s,251,kcal,g,fast food,kanapka,127
McDouble z McDonald’s,252,kcal,g,fast food,burger,143
McMuffin Egg z McDOnald’s,225,kcal,g,fast food,burger,160
McRib z McDonald’s,265,kcal,g,fast food,burger,129
McRoyal z McDonald’s,269,kcal,g,fast food,kanapka,170
Mega Pocket z KFC,243,kcal,g,fast food,burger,197
Nachos z serem,306,kcal,g,fast food,sztuka,287
Nuggetsy kurczakowe z McDonald’s,297,kcal,g,fast food, nachos,188
Nuggetsy z kurczaka,296,kcal,g,fast food,nugget,16
Piersi z kurczaka,163,kcal,g,fast food,sztuka,20
Podwójny cheeseburger,267,kcal,g,fast food,sztuka,71
Podwójny cheeseburger z McDonald’s,282,kcal,g,fast food,burger,155
Qurrito z KFC,271,kcal,g,fast food,burger,155
Ryba z frytkami,195,kcal,g,fast food,sztuka,230
Sałatka z grillowanym kurczakiem,88,kcal,g,fast food,porcja,300
Skrzydełka Mighty Wings z McDonald’s,308,kcal,g,fast food,sałatka,305
Skrzydełka z kurczaka,324,kcal,g,fast food,skrzydełko,31
Tender z KFC,240,kcal,g,fast food,sztuka,29
Tortilla Wrap,271,kcal,g,fast food,kanapka,125
Tuńczyk,86,kcal,g,fast food,wrap,63
Twister Ser&Bekon z KFC,259,kcal,g,fast food,2 fileta,154
Twister z KFC,240,kcal,g,fast food,twister,240
Whopper z Burger King,231,kcal,g,fast food,sztuka,226
Wieśmac z McDonald’s,256,kcal,g,fast food,burger,291
Zapiekanka,214,kcal,g,fast food,burger,224
Zinger z KFC,270,kcal,g,fast food,sztuka,405
Łosoś wędzony,158,kcal,g,fast food,burger,179
Żeberka grillowane,212,kcal,g,fast food,2 fileta,178
Ciasto na pizzę,228,kcal,g,pizza,calzoni,364
Flammkuchen,253,kcal,g,pizza,porcja,57
Mini Pizza,365,kcal,g,pizza,kwadracik,56
Pizza Bianko,250,kcal,g,pizza,porcja,65
Pizza biała,246,kcal,g,pizza,kawałek,150
Pizza Calabrese,235,kcal,g,pizza,kawałek,232
Pizza Capricciosa,260,kcal,g,pizza,kawałek,108
Pizza diabelska,220,kcal,g,pizza,kawałek,74
Pizza Flambee,245,kcal,g,pizza,kawałek,150
Pizza Fungi,212,kcal,g,pizza,kawałek,65
Pizza hawajska,115,kcal,g,pizza,kawałek,288
Pizza Margherita,275,kcal,g,pizza,kawałek,134
Pizza Mexicana,232,kcal,g,pizza,kawałek,63
Pizza na cienkim spodzie,261,kcal,g,pizza,kawałek,63
Pizza na grubym spodzie,255,kcal,g,pizza,kawałek,60
Pizza na grubym spodzie z Pizza Hut,255,kcal,g,pizza,kawałek,149
Pizza Napoli,202,kcal,g,pizza,kawałek,149
Pizza Pepperoni,255,kcal,g,pizza,kawałek,123
Pizza Primavera,180,kcal,g,pizza,kawałek,71
Pizza Quattro Formaggi,248,kcal,g,pizza,kawałek,55
Pizza Rolls,247,kcal,g,pizza,kawałek,133
Pizza sycylijska,241,kcal,g,pizza,sztuka,14
Pizza Toscana,205,kcal,g,pizza,kawałek,133
Pizza Vesuvio,287,kcal,g,pizza,pizza,350
